i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-0.2445,-0.229,0.0155,0.237,-0.13,-0.107,-0.044,-0.1205,-0.056,0.106,0.1965,0.195,-0.0015,0.06,-0.009
-0.2425,-0.2335,0.009,0.238,-0.1255,-0.1125,-0.042,-0.1175,-0.051,0.1095,0.202,0.198,-0.0015,0.061,-0.01
-0.2415,-0.2345,0.007,0.238,-0.124,-0.114,-0.044,-0.118,-0.0535,0.1095,0.2005,0.1965,-0.0035,0.0555,-0.0085
-0.241,-0.229,0.012,0.235,-0.126,-0.109,-0.045,-0.1175,-0.0515,0.1115,0.201,0.197,-0.002,0.0535,-0.008
-0.2315,-0.227,0.0045,0.2295,-0.118,-0.1115,-0.0455,-0.117,-0.0495,0.1115,0.2,0.1985,0.0005,0.0545,-0.0085
-0.226,-0.2325,-0.007,0.2295,-0.1095,-0.12,-0.0505,-0.121,-0.053,0.1075,0.196,0.194,0.0,0.056,-0.0085
-0.225,-0.2365,-0.0115,0.231,-0.1065,-0.1245,-0.0525,-0.1215,-0.0545,0.1065,0.194,0.193,0.001,0.0575,-0.008
-0.2345,-0.2335,0.0005,0.234,-0.117,-0.117,-0.049,-0.1175,-0.0505,0.1115,0.199,0.1985,0.0015,0.052,-0.008
-0.2345,-0.233,0.0015,0.2335,-0.118,-0.116,-0.0515,-0.118,-0.05,0.111,0.2005,0.197,0.0005,0.0475,-0.007
-0.2235,-0.2355,-0.012,0.2295,-0.1055,-0.124,-0.055,-0.1205,-0.054,0.1085,0.198,0.1935,0.0,0.049,-0.0065
-0.2205,-0.2305,-0.0105,0.2255,-0.1045,-0.121,-0.0545,-0.123,-0.054,0.109,0.199,0.195,0.001,0.0535,-0.007
-0.227,-0.228,-0.001,0.2275,-0.1125,-0.115,-0.0565,-0.122,-0.0535,0.1085,0.198,0.196,0.0025,0.0625,-0.0055
-0.232,-0.226,0.0065,0.229,-0.119,-0.11,-0.053,-0.1195,-0.0525,0.109,0.198,0.1975,0.003,0.061,-0.005
-0.2375,-0.23,0.008,0.234,-0.1225,-0.1115,-0.051,-0.1205,-0.0515,0.111,0.199,0.199,0.001,0.05,-0.0055
-0.2445,-0.2325,0.012,0.2385,-0.128,-0.1105,-0.049,-0.119,-0.052,0.1125,0.1985,0.2015,0.001,0.053,-0.0055
-0.237,-0.221,0.016,0.229,-0.126,-0.103,-0.0505,-0.119,-0.0545,0.1095,0.1975,0.2015,0.003,0.059,-0.0055
-0.224,-0.2135,0.0105,0.2185,-0.117,-0.102,-0.056,-0.1225,-0.057,0.106,0.1955,0.197,0.0015,0.058,-0.0055
-0.2265,-0.213,0.013,0.22,-0.1195,-0.1005,-0.0535,-0.1215,-0.0555,0.1065,0.198,0.1975,0.0005,0.0595,-0.0045
-0.2265,-0.209,0.0175,0.218,-0.122,-0.096,-0.052,-0.1195,-0.054,0.1085,0.201,0.199,0.0035,0.066,-0.0025
-0.2275,-0.208,0.0195,0.218,-0.123,-0.0945,-0.0525,-0.1195,-0.055,0.109,0.2015,0.197,0.004,0.067,-0.003
-0.2325,-0.2115,0.021,0.222,-0.1265,-0.0955,-0.052,-0.1205,-0.055,0.108,0.2025,0.1965,0.002,0.0565,-0.003
-0.226,-0.214,0.0125,0.22,-0.119,-0.101,-0.052,-0.119,-0.0545,0.109,0.202,0.197,-0.0005,0.057,-0.0035
-0.2255,-0.2165,0.009,0.221,-0.117,-0.104,-0.051,-0.1195,-0.054,0.1085,0.201,0.197,-0.002,0.0595,-0.003
-0.211,-0.2035,0.008,0.207,-0.109,-0.098,-0.05,-0.1195,-0.052,0.108,0.2005,0.1985,-0.001,0.0625,-0.0015
-0.2135,-0.21,0.004,0.2115,-0.1085,-0.103,-0.051,-0.12,-0.0545,0.107,0.1985,0.1965,0.0005,0.0615,-0.0015
-0.2235,-0.2255,-0.002,0.2245,-0.1105,-0.114,-0.053,-0.121,-0.057,0.1045,0.1975,0.193,0.0,0.052,-0.004
-0.22,-0.223,-0.003,0.2215,-0.1085,-0.113,-0.052,-0.1195,-0.0575,0.103,0.1975,0.1935,0.0,0.0525,-0.004
-0.216,-0.22,-0.004,0.218,-0.1055,-0.112,-0.0515,-0.1185,-0.056,0.1045,0.198,0.1945,0.0015,0.052,-0.004
-0.2,-0.207,-0.0075,0.2035,-0.096,-0.1075,-0.046,-0.1125,-0.0495,0.1105,0.204,0.2,0.0025,0.0495,-0.005
-0.1965,-0.2025,-0.0055,0.1995,-0.095,-0.1045,-0.0435,-0.1105,-0.0465,0.114,0.206,0.2035,0.0035,0.0505,-0.0045
-0.1965,-0.2015,-0.005,0.199,-0.0955,-0.1035,-0.0445,-0.108,-0.0465,0.113,0.205,0.2035,0.0045,0.0475,-0.0055
-0.209,-0.199,0.01,0.204,-0.1095,-0.0945,-0.041,-0.1055,-0.0445,0.1145,0.206,0.205,0.002,0.047,-0.006
-0.2385,-0.222,0.016,0.2305,-0.127,-0.1035,-0.049,-0.113,-0.0505,0.1085,0.199,0.1985,0.001,0.0505,-0.005
-0.252,-0.237,0.015,0.2445,-0.1335,-0.111,-0.0505,-0.114,-0.0525,0.105,0.1965,0.1965,0.001,0.044,-0.0035
-0.2385,-0.2285,0.01,0.2335,-0.124,-0.1095,-0.0455,-0.1115,-0.048,0.1085,0.2,0.199,0.0005,0.0445,-0.0025
-0.2265,-0.2185,0.0075,0.2225,-0.1165,-0.1055,-0.044,-0.107,-0.046,0.1095,0.202,0.201,0.0015,0.051,-0.002
-0.2345,-0.213,0.0215,0.224,-0.128,-0.096,-0.04,-0.103,-0.0435,0.111,0.204,0.2025,0.001,0.052,-0.002
-0.2545,-0.2325,0.022,0.2435,-0.138,-0.1055,-0.045,-0.1095,-0.0485,0.107,0.199,0.1955,0.0015,0.044,-0.0025
-0.2475,-0.2315,0.0165,0.2395,-0.1315,-0.108,-0.046,-0.1105,-0.0485,0.105,0.1975,0.1925,0.0015,0.042,-0.0035
-0.231,-0.215,0.016,0.223,-0.1235,-0.1,-0.0455,-0.1075,-0.0445,0.1075,0.201,0.193,0.0015,0.052,-0.0035
-0.23,-0.2145,0.0155,0.222,-0.1225,-0.0995,-0.0465,-0.1075,-0.0445,0.108,0.2,0.192,0.001,0.048,-0.001
-0.22,-0.2165,0.0035,0.218,-0.1115,-0.107,-0.049,-0.1095,-0.0465,0.1055,0.1935,0.1915,-0.001,0.0495,-0.001
