Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.0,-0.0265,-0.0055,0.021,0.0155,-0.0235,0.0075,-0.011,-0.1125,-0.2355,-0.128,-0.0835,-0.085,-0.063,0.069,-0.015
0.001,0.0055,0.0135,0.0075,-0.0095,-0.001,0.0105,-0.029,-0.1305,-0.253,-0.144,-0.098,-0.1025,-0.0625,0.0775,-0.0135
0.002,-0.0225,0.018,0.0405,0.002,-0.031,0.0285,-0.024,-0.1275,-0.2485,-0.1395,-0.0925,-0.095,-0.062,0.083,-0.0185
0.003,-0.012,0.0255,0.0375,-0.007,-0.0245,0.031,-0.03,-0.1305,-0.2515,-0.14,-0.0905,-0.0965,-0.064,0.0915,-0.0255
0.004,0.0085,0.019,0.0105,-0.014,-0.0005,0.0145,-0.0275,-0.1295,-0.254,-0.1405,-0.0925,-0.093,-0.063,0.0895,-0.0245
0.005,0.009,0.0075,-0.0015,-0.0085,0.0055,0.003,-0.023,-0.1265,-0.2495,-0.135,-0.0875,-0.0905,-0.062,0.0725,-0.0275
0.006,0.003,0.0235,0.021,-0.0135,-0.009,0.022,-0.0315,-0.1305,-0.2535,-0.138,-0.091,-0.096,-0.064,0.0725,-0.034
0.007,-0.0245,0.0135,0.038,0.0055,-0.031,0.025,-0.0255,-0.127,-0.2505,-0.1345,-0.088,-0.0935,-0.0635,0.0745,-0.0395
0.008,-0.008,0.0115,0.0195,-0.002,-0.0135,0.015,-0.013,-0.118,-0.2415,-0.123,-0.0755,-0.081,-0.0605,0.069,-0.0395
0.009,0.02,0.0225,0.0025,-0.0215,0.009,0.0125,-0.009,-0.117,-0.2395,-0.1225,-0.0745,-0.0725,-0.057,0.0615,-0.0335
0.01,0.0105,0.0145,0.004,-0.0125,0.0035,0.009,-0.0175,-0.124,-0.2435,-0.1285,-0.0795,-0.079,-0.058,0.0585,-0.0345
0.011,0.0185,0.028,0.0095,-0.0235,0.0045,0.018,-0.0255,-0.131,-0.2505,-0.1325,-0.0835,-0.084,-0.059,0.085,-0.038
0.012,0.0225,0.0375,0.015,-0.0305,0.004,0.0255,-0.0265,-0.135,-0.2535,-0.1375,-0.086,-0.0875,-0.058,0.102,-0.035
0.013,0.02,0.0275,0.0075,-0.0245,0.007,0.017,-0.0285,-0.1335,-0.2505,-0.138,-0.084,-0.0865,-0.0585,0.09,-0.032
0.014,0.0125,0.019,0.007,-0.016,0.003,0.0125,-0.0225,-0.1295,-0.244,-0.128,-0.076,-0.079,-0.0605,0.085,-0.038
0.015,0.002,0.0145,0.012,-0.0085,-0.0045,0.0125,-0.015,-0.123,-0.238,-0.1215,-0.069,-0.0695,-0.06,0.072,-0.0385
0.016,-0.0025,0.0215,0.024,-0.01,-0.013,0.022,-0.0145,-0.1255,-0.24,-0.125,-0.0715,-0.0725,-0.0615,0.0685,-0.032
0.017,-0.004,0.0335,0.0375,-0.015,-0.0205,0.035,-0.0205,-0.13,-0.2445,-0.129,-0.0755,-0.078,-0.0625,0.076,-0.03
0.018,-0.0025,0.019,0.0215,-0.0085,-0.0115,0.0195,-0.0155,-0.1205,-0.236,-0.1215,-0.067,-0.0685,-0.0605,0.067,-0.0275
0.019,-0.015,0.016,0.031,-0.0005,-0.0225,0.0225,-0.0105,-0.1205,-0.233,-0.119,-0.064,-0.0655,-0.0625,0.075,-0.0235
0.02,-0.015,0.034,0.0495,-0.01,-0.032,0.041,-0.0235,-0.135,-0.248,-0.1305,-0.076,-0.076,-0.0635,0.0905,-0.023
0.021,0.005,0.0435,0.0385,-0.0245,-0.0165,0.04,-0.0365,-0.147,-0.262,-0.1425,-0.088,-0.0875,-0.063,0.1055,-0.0245
0.022,0.019,0.024,0.005,-0.0215,0.0075,0.014,-0.0405,-0.1505,-0.2655,-0.147,-0.0915,-0.0895,-0.062,0.097,-0.0255
0.023,0.0285,0.021,-0.007,-0.025,0.018,0.007,-0.044,-0.1525,-0.267,-0.1495,-0.094,-0.0935,-0.0605,0.087,-0.0245
0.024,0.0365,0.0415,0.0055,-0.039,0.016,0.023,-0.0485,-0.158,-0.2725,-0.154,-0.0995,-0.0985,-0.059,0.0945,-0.0195
0.025,0.018,0.018,0.0,-0.0185,0.0095,0.009,-0.035,-0.146,-0.26,-0.1395,-0.085,-0.085,-0.0585,0.0785,-0.016
0.026,-0.0135,0.019,0.0325,-0.003,-0.023,0.0255,-0.0235,-0.1355,-0.2505,-0.127,-0.073,-0.073,-0.0575,0.0765,-0.008
0.027,-0.0315,0.039,0.0705,-0.004,-0.0505,0.0545,-0.019,-0.132,-0.2495,-0.1245,-0.0695,-0.069,-0.058,0.0865,0.0035
0.028,-0.02,0.041,0.061,-0.0105,-0.0405,0.0505,-0.003,-0.114,-0.2325,-0.108,-0.052,-0.052,-0.0575,0.0785,0.006
0.029,-0.0015,0.059,0.0605,-0.029,-0.031,0.0595,-0.006,-0.117,-0.2325,-0.108,-0.0525,-0.0525,-0.055,0.086,0.004
0.03,0.032,0.062,0.03,-0.047,0.001,0.0455,-0.025,-0.1345,-0.25,-0.1245,-0.068,-0.0695,-0.055,0.0965,-0.0005
0.031,0.057,0.049,-0.008,-0.0535,0.033,0.02,-0.0385,-0.148,-0.2625,-0.138,-0.0805,-0.0815,-0.0555,0.095,-0.011
0.032,0.043,0.0205,-0.023,-0.032,0.033,-0.0015,-0.0285,-0.144,-0.256,-0.1325,-0.078,-0.0785,-0.059,0.0715,-0.0165
0.033,0.022,-0.002,-0.024,-0.0105,0.0235,-0.013,-0.0205,-0.1355,-0.2485,-0.1245,-0.0695,-0.0695,-0.0595,0.0645,-0.02
0.034,-0.0005,0.019,0.019,-0.0095,-0.0095,0.0185,-0.0355,-0.1495,-0.2625,-0.1365,-0.083,-0.0845,-0.059,0.0865,-0.02
0.035,-0.012,0.0215,0.0335,-0.005,-0.0225,0.027,-0.0335,-0.148,-0.261,-0.1365,-0.081,-0.0795,-0.0565,0.079,-0.02
0.036,-0.0315,0.0,0.0315,0.0155,-0.031,0.015,-0.0255,-0.1415,-0.2525,-0.129,-0.0695,-0.063,-0.0525,0.0655,-0.0245
0.037,-0.0355,0.017,0.0525,0.009,-0.044,0.0345,-0.027,-0.142,-0.2525,-0.1285,-0.073,-0.0705,-0.0595,0.073,-0.0235
0.038,-0.009,0.05,0.059,-0.0205,-0.0335,0.0535,-0.0375,-0.151,-0.262,-0.14,-0.085,-0.086,-0.0645,0.0855,-0.02
0.039,0.005,0.03,0.025,-0.0175,-0.0095,0.027,-0.04,-0.1545,-0.265,-0.142,-0.0865,-0.087,-0.0635,0.0725,-0.0155
0.04,0.007,-0.0035,-0.01,-0.002,0.009,-0.007,-0.0345,-0.1475,-0.258,-0.1335,-0.0785,-0.079,-0.063,0.0635,-0.0155
0.041,0.0135,-0.012,-0.0255,-0.001,0.02,-0.019,-0.04,-0.152,-0.263,-0.139,-0.083,-0.0825,-0.0625,0.062,-0.0175
