I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.117,0.195,0.078,-0.156,0.02,0.137,-0.166,-0.146,0.039,0.4,0.488,0.166
0.117,0.195,0.078,-0.156,0.02,0.137,-0.166,-0.146,0.039,0.4,0.488,0.166
0.117,0.195,0.078,-0.156,0.02,0.137,-0.166,-0.146,0.039,0.4,0.488,0.166
0.117,0.195,0.078,-0.156,0.02,0.137,-0.166,-0.146,0.039,0.4,0.488,0.166
0.117,0.195,0.078,-0.156,0.02,0.137,-0.176,-0.142,0.049,0.386,0.473,0.161
0.117,0.195,0.078,-0.156,0.02,0.137,-0.176,-0.137,0.049,0.381,0.468,0.156
0.117,0.195,0.078,-0.156,0.02,0.137,-0.176,-0.132,0.049,0.376,0.464,0.151
0.117,0.195,0.078,-0.156,0.02,0.137,-0.176,-0.127,0.049,0.371,0.459,0.146
0.107,0.181,0.073,-0.142,0.015,0.127,-0.19,-0.142,0.049,0.351,0.434,0.132
0.107,0.176,0.068,-0.142,0.02,0.122,-0.195,-0.146,0.049,0.332,0.42,0.117
0.107,0.171,0.063,-0.137,0.02,0.117,-0.2,-0.151,0.049,0.312,0.405,0.102
0.107,0.166,0.059,-0.137,0.024,0.112,-0.205,-0.156,0.049,0.293,0.39,0.088
0.098,0.146,0.049,-0.122,0.024,0.098,-0.215,-0.156,0.044,0.268,0.376,0.068
0.088,0.137,0.049,-0.112,0.02,0.093,-0.215,-0.156,0.039,0.254,0.361,0.059
0.078,0.127,0.049,-0.102,0.015,0.088,-0.215,-0.156,0.034,0.239,0.346,0.049
0.068,0.117,0.049,-0.093,0.01,0.083,-0.215,-0.156,0.029,0.224,0.332,0.039
0.063,0.102,0.039,-0.083,0.01,0.068,-0.2,-0.146,0.034,0.205,0.312,0.024
0.059,0.098,0.039,-0.078,0.01,0.068,-0.185,-0.137,0.039,0.195,0.303,0.02
0.054,0.093,0.039,-0.073,0.005,0.063,-0.171,-0.127,0.044,0.185,0.293,0.015
0.049,0.088,0.039,-0.068,0.005,0.063,-0.156,-0.117,0.049,0.176,0.283,0.01
0.039,0.083,0.044,-0.059,-0.005,0.063,-0.137,-0.098,0.059,0.166,0.264,-0.005
0.039,0.078,0.039,-0.059,0.0,0.059,-0.127,-0.088,0.059,0.156,0.254,-0.01
0.039,0.073,0.034,-0.054,0.0,0.054,-0.117,-0.078,0.059,0.146,0.244,-0.015
0.039,0.068,0.029,-0.054,0.005,0.049,-0.107,-0.068,0.059,0.137,0.234,-0.02
0.029,0.054,0.024,-0.039,0.0,0.039,-0.098,-0.059,0.049,0.122,0.215,-0.029
0.029,0.049,0.02,-0.039,0.005,0.034,-0.088,-0.059,0.049,0.107,0.205,-0.039
0.029,0.044,0.015,-0.034,0.005,0.029,-0.078,-0.059,0.049,0.093,0.195,-0.049
0.029,0.039,0.01,-0.034,0.01,0.024,-0.068,-0.059,0.049,0.078,0.185,-0.059
0.029,0.039,0.01,-0.034,0.01,0.024,-0.049,-0.049,0.039,0.068,0.166,-0.078
0.029,0.039,0.01,-0.034,0.01,0.024,-0.039,-0.039,0.039,0.059,0.156,-0.088
0.029,0.039,0.01,-0.034,0.01,0.024,-0.029,-0.029,0.039,0.049,0.146,-0.098
0.029,0.039,0.01,-0.034,0.01,0.024,-0.02,-0.02,0.039,0.039,0.137,-0.107
0.015,0.029,0.015,-0.02,0.0,0.02,-0.01,-0.02,0.029,0.024,0.132,-0.117
0.01,0.02,0.01,-0.015,0.0,0.015,0.0,-0.02,0.029,0.02,0.127,-0.117
0.005,0.01,0.005,-0.005,0.0,0.005,0.01,-0.02,0.029,0.015,0.122,-0.117
0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.02,0.029,0.01,0.117,-0.117
-0.01,-0.005,0.005,0.01,-0.01,0.0,0.029,-0.01,0.02,0.0,0.112,-0.122
-0.01,-0.01,0.0,0.01,-0.005,-0.005,0.039,-0.01,0.02,-0.01,0.107,-0.127
-0.01,-0.015,-0.005,0.015,-0.005,-0.01,0.049,-0.01,0.02,-0.02,0.102,-0.132
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.059,-0.01,0.02,-0.029,0.098,-0.137
-0.005,-0.029,-0.024,0.02,0.01,-0.029,0.063,0.0,0.015,-0.039,0.093,-0.142
0.0,-0.029,-0.029,0.015,0.015,-0.029,0.068,0.0,0.01,-0.039,0.088,-0.146
0.005,-0.029,-0.034,0.015,0.02,-0.034,0.073,0.0,0.005,-0.039,0.083,-0.151
0.01,-0.029,-0.039,0.01,0.024,-0.034,0.078,0.0,0.0,-0.039,0.078,-0.156
0.0,-0.029,-0.029,0.015,0.015,-0.029,0.083,0.0,-0.01,-0.044,0.068,-0.156
0.0,-0.029,-0.029,0.015,0.015,-0.029,0.088,0.0,-0.01,-0.049,0.068,-0.156
0.0,-0.029,-0.029,0.015,0.015,-0.029,0.093,0.0,-0.01,-0.054,0.068,-0.156
0.0,-0.029,-0.029,0.015,0.015,-0.029,0.098,0.0,-0.01,-0.059,0.068,-0.156
-0.005,-0.02,-0.015,0.015,0.005,-0.02,0.102,0.01,-0.01,-0.068,0.063,-0.161
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.107,0.01,-0.01,-0.068,0.059,-0.166
-0.015,-0.02,-0.005,0.02,-0.005,-0.015,0.112,0.01,-0.01,-0.068,0.054,-0.171
-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.117,0.01,-0.01,-0.068,0.049,-0.176
-0.02,-0.024,-0.005,0.024,-0.01,-0.015,0.122,0.015,-0.01,-0.068,0.059,-0.185
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.127,0.02,-0.01,-0.068,0.059,-0.185
-0.02,-0.034,-0.015,0.029,-0.005,-0.024,0.132,0.024,-0.01,-0.068,0.059,-0.185
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.137,0.029,-0.01,-0.068,0.059,-0.185
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.146,0.039,0.0,-0.068,0.059,-0.181
