,Fp1,F3,C3,P3,F7,T3,T5,O1,Fz,Cz,Pz,Fp2,F4,C4,P4,F8,T4,T6,O2,EKG
0,-590.42,-557.66,-478.28,-586.66,-576.59,-537.46,-554.33,-605.81,-560.6,-526.63,-557.3,-551.03,-498.55,-460.65,-548.75,-546.3,-525.33,-593.19,-491.98,46.62
1,-587.76,-563.63,-481.76,-589.86,-579.71,-537.37,-556.32,-609.35,-563.71,-530.55,-561.55,-557.03,-507.02,-466.73,-555.47,-548.19,-534.9,-604.09,-499.43,15.77
2,-590.48,-563.96,-482.04,-588.68,-574.16,-532.34,-550.18,-606.45,-568.27,-534.05,-563.06,-555.97,-511.81,-473.11,-560.42,-559.17,-538.06,-606.92,-501.01,47.67
3,-593.18,-563.26,-476.16,-582.91,-565.64,-520.8,-544.15,-600.87,-568.19,-530.25,-558.79,-559.81,-516.12,-468.73,-554.6,-563.51,-520.88,-599.19,-494.14,105.31
4,-588.82,-556.73,-470.41,-573.3,-556.79,-519.24,-537.08,-589.69,-560.07,-520.92,-548.85,-557.87,-520.23,-455.42,-540.69,-557.2,-514.86,-586.95,-482.35,77.9
5,-579.84,-548.69,-464.52,-565.22,-548.72,-507.82,-526.5,-578.65,-554.62,-514.66,-541.51,-550.31,-504.43,-451.21,-532.47,-552.62,-514.74,-575.88,-473.95,97.47
6,-577.71,-553.47,-465.53,-567.75,-550.15,-509.67,-530.65,-583.5,-556.49,-516.98,-543.92,-541.13,-510.18,-455.11,-533.51,-547.82,-502.94,-572.62,-476.46,153.88
7,-581.92,-558.63,-471.27,-572.91,-558.15,-519.0,-538.28,-589.05,-561.55,-520.73,-548.18,-544.23,-518.97,-459.01,-538.74,-557.83,-516.44,-582.09,-483.29,158.87
8,-577.51,-552.32,-471.16,-574.54,-554.87,-522.84,-540.56,-588.67,-555.84,-519.58,-550.74,-543.85,-511.5,-460.31,-542.3,-560.35,-527.21,-588.39,-486.05,147.0
9,-587.92,-559.39,-476.6,-581.0,-557.48,-526.68,-547.79,-594.87,-564.79,-526.24,-556.45,-561.82,-526.5,-468.08,-547.97,-575.4,-536.77,-596.19,-491.26,205.85
10,-592.47,-563.79,-478.01,-577.99,-556.19,-516.2,-543.6,-593.78,-570.68,-526.73,-555.76,-561.32,-524.29,-469.35,-545.93,-585.51,-532.48,-598.83,-490.5,219.15
11,-584.34,-559.47,-476.21,-577.15,-553.76,-516.36,-542.28,-591.91,-566.69,-527.55,-556.45,-553.86,-524.16,-470.93,-547.57,-584.33,-537.66,-601.68,-491.22,139.07
12,-595.23,-569.34,-482.96,-580.99,-558.95,-522.61,-545.96,-593.61,-576.65,-534.55,-560.2,-565.94,-536.05,-478.16,-552.2,-596.51,-551.74,-605.74,-492.92,154.3
13,-585.35,-558.0,-469.94,-565.8,-544.66,-510.7,-533.82,-580.59,-565.34,-520.94,-545.92,-559.58,-529.18,-469.42,-537.46,-576.16,-545.12,-582.71,-477.57,190.9
14,-572.08,-555.28,-469.39,-560.97,-539.74,-508.72,-531.46,-576.49,-565.0,-519.37,-543.05,-527.79,-527.24,-466.05,-535.15,-572.82,-524.47,-586.24,-476.83,187.73
15,-574.84,-554.92,-465.43,-556.29,-541.05,-505.5,-527.59,-573.07,-563.04,-513.99,-537.83,-535.41,-527.09,-463.42,-532.17,-580.35,-523.24,-583.59,-473.12,175.33
16,-577.67,-554.56,-465.01,-555.01,-540.35,-502.78,-524.3,-570.84,-565.09,-514.93,-538.95,-567.99,-523.2,-465.89,-532.74,-587.6,-528.24,-583.49,-473.3,221.22
17,-577.93,-557.32,-467.98,-557.7,-540.78,-507.06,-529.23,-574.12,-565.9,-516.47,-542.24,-559.34,-536.29,-466.87,-533.69,-593.07,-546.12,-587.93,-474.27,185.57
18,-571.22,-549.77,-463.49,-553.78,-534.04,-503.11,-525.66,-568.32,-561.72,-513.19,-539.25,-538.43,-530.83,-464.78,-531.04,-580.29,-541.95,-585.0,-472.02,160.09
19,-570.29,-547.91,-461.9,-550.99,-525.66,-495.75,-519.05,-563.28,-560.36,-511.3,-537.8,-544.76,-525.56,-462.3,-526.88,-580.77,-531.88,-577.87,-468.81,221.9
20,-572.73,-551.59,-462.76,-552.17,-524.73,-493.76,-518.81,-564.81,-560.91,-513.59,-538.81,-557.97,-534.04,-466.23,-529.63,-595.73,-533.43,-578.56,-469.21,241.76
21,-578.41,-558.28,-473.23,-564.12,-529.96,-504.18,-530.26,-576.79,-571.36,-525.87,-552.62,-535.04,-544.56,-480.29,-544.14,-607.78,-552.49,-595.6,-484.79,186.49
22,-582.01,-560.94,-478.34,-569.76,-530.19,-499.75,-534.77,-583.19,-574.94,-531.68,-559.6,-552.84,-547.88,-488.22,-551.34,-611.78,-549.79,-604.06,-490.63,223.6
23,-558.7,-537.41,-455.83,-547.06,-509.19,-481.9,-513.58,-561.54,-552.51,-510.35,-539.26,-542.94,-527.89,-468.6,-530.25,-590.82,-524.04,-583.82,-470.06,273.94
24,-547.13,-527.22,-445.46,-535.17,-500.25,-473.91,-505.38,-551.86,-542.03,-498.98,-526.51,-517.98,-521.0,-454.05,-514.91,-580.5,-526.3,-565.38,-458.03,211.83
25,-550.44,-533.09,-450.82,-539.1,-503.35,-481.27,-511.35,-555.4,-547.09,-502.62,-528.82,-526.55,-526.0,-457.34,-514.62,-588.78,-514.88,-559.64,-456.08,216.66
26,-568.22,-553.53,-469.06,-553.4,-517.36,-499.53,-526.0,-566.43,-570.46,-521.23,-545.2,-521.78,-543.14,-475.74,-527.89,-602.03,-527.25,-568.28,-464.72,260.92
27,-571.55,-555.29,-470.96,-552.65,-517.12,-495.08,-526.14,-564.59,-577.87,-523.91,-545.69,-535.05,-548.95,-476.35,-526.33,-603.29,-542.98,-570.27,-461.39,279.61
28,-563.47,-550.48,-462.21,-543.49,-511.65,-480.1,-512.52,-556.09,-565.73,-518.15,-540.23,-548.26,-541.21,-475.99,-524.38,-610.51,-551.66,-571.06,-455.68,265.71
29,-577.34,-561.87,-468.72,-548.07,-519.55,-483.2,-512.88,-557.46,-578.0,-525.93,-547.11,-556.21,-558.55,-484.79,-531.54,-627.09,-546.69,-578.98,-458.54,239.66
30,-584.09,-565.52,-475.19,-554.16,-524.91,-491.96,-521.08,-563.44,-584.94,-530.86,-552.57,-557.78,-565.24,-490.52,-536.28,-633.71,-553.39,-584.52,-464.29,211.68
31,-579.43,-565.49,-477.46,-556.25,-524.81,-496.36,-526.07,-567.84,-583.07,-533.23,-555.17,-552.85,-563.28,-494.47,-539.31,-630.74,-560.41,-593.13,-467.02,160.72
32,-569.53,-556.34,-466.68,-545.3,-515.71,-483.77,-514.23,-556.48,-574.95,-523.92,-544.07,-548.28,-552.95,-486.11,-528.36,-621.76,-547.9,-582.19,-455.37,125.6
33,-571.24,-553.99,-461.04,-539.44,-510.32,-478.05,-506.85,-550.55,-572.56,-518.63,-539.22,-542.86,-550.2,-481.31,-520.65,-619.67,-544.55,-571.36,-446.25,113.46
34,-568.0,-546.37,-454.42,-532.37,-503.54,-473.69,-502.0,-543.98,-562.59,-510.46,-531.37,-532.35,-538.86,-475.02,-512.09,-612.79,-535.91,-559.53,-442.47,69.85
35,-560.27,-543.21,-452.03,-529.64,-499.61,-472.01,-500.3,-540.55,-560.4,-507.55,-528.9,-521.95,-545.48,-472.67,-511.01,-612.76,-540.48,-565.02,-441.79,62.48
36,-570.18,-548.8,-457.7,-533.45,-505.12,-470.95,-504.5,-544.27,-566.98,-511.58,-534.42,-546.04,-558.37,-477.07,-515.42,-621.93,-532.75,-565.09,-443.46,125.63
37,-564.67,-548.85,-458.69,-533.15,-503.6,-471.28,-503.33,-544.18,-567.79,-513.33,-535.47,-537.47,-552.23,-479.36,-516.03,-619.79,-541.86,-565.08,-444.88,77.35
38,-554.19,-544.96,-454.73,-528.57,-499.05,-467.54,-499.44,-540.03,-560.59,-508.89,-531.75,-528.82,-543.52,-474.49,-511.4,-611.82,-537.86,-562.36,-441.6,47.6
39,-564.72,-548.7,-458.34,-531.32,-502.21,-466.41,-500.43,-540.2,-566.46,-513.27,-535.24,-532.67,-550.68,-479.84,-512.15,-615.3,-536.86,-557.92,-441.37,146.52
40,-572.91,-556.88,-463.89,-535.69,-509.79,-473.91,-505.42,-543.86,-574.57,-518.92,-540.09,-535.95,-557.84,-481.84,-513.48,-618.08,-533.57,-562.47,-443.17,147.77
41,-571.72,-558.12,-469.73,-542.66,-513.29,-481.98,-513.2,-550.78,-577.25,-524.8,-546.27,-531.15,-562.57,-488.25,-520.61,-622.59,-549.65,-569.52,-447.31,60.66
42,-584.1,-570.48,-481.19,-553.8,-524.51,-491.01,-522.06,-559.42,-587.2,-536.42,-556.9,-548.12,-574.32,-504.03,-531.44,-639.33,-555.41,-579.25,-452.93,87.08
43,-591.06,-573.55,-480.91,-549.1,-527.63,-486.97,-515.43,-554.24,-589.41,-535.31,-554.6,-564.14,-577.24,-502.23,-529.51,-640.07,-557.58,-580.62,-448.16,184.53
44,-576.63,-563.14,-470.79,-537.19,-519.04,-476.75,-502.59,-541.13,-579.55,-523.37,-542.09,-548.27,-564.75,-491.02,-517.98,-626.23,-560.54,-569.15,-434.72,166.21
45,-555.93,-548.59,-457.37,-521.72,-504.19,-462.95,-489.21,-527.23,-560.09,-508.15,-527.3,-519.52,-544.59,-475.05,-500.76,-607.59,-528.46,-546.59,-420.93,136.05
46,-562.11,-552.36,-460.5,-523.61,-506.08,-467.25,-494.16,-528.5,-563.67,-510.12,-528.73,-533.51,-551.26,-474.1,-498.82,-599.83,-526.47,-543.34,-418.89,130.2
47,-570.4,-561.89,-472.13,-535.6,-518.98,-482.22,-507.33,-540.16,-577.11,-521.83,-540.41,-529.58,-556.5,-485.97,-510.74,-610.87,-532.88,-555.56,-429.09,107.34
48,-568.42,-565.48,-478.26,-542.44,-524.42,-491.12,-515.49,-547.6,-581.69,-527.66,-547.47,-518.45,-567.14,-493.49,-518.49,-615.36,-547.21,-562.2,-434.18,63.06
49,-577.91,-570.54,-481.67,-546.33,-525.34,-495.45,-519.68,-549.95,-583.57,-531.13,-550.97,-533.11,-578.15,-499.16,-523.38,-620.57,-556.16,-570.87,-439.13,103.34
50,-569.89,-562.53,-472.59,-536.56,-516.3,-475.02,-509.51,-541.18,-578.11,-521.8,-541.77,-530.12,-562.58,-489.56,-512.01,-614.04,-544.86,-558.0,-428.9,138.84
51,-545.46,-543.85,-456.57,-521.44,-500.71,-463.15,-493.48,-525.8,-559.11,-504.61,-526.12,-521.67,-545.24,-474.61,-497.31,-595.92,-525.81,-541.75,-415.44,126.51
52,-564.34,-556.42,-470.11,-535.12,-513.01,-476.72,-505.52,-538.56,-570.52,-518.84,-540.39,-537.31,-566.21,-489.03,-511.16,-608.52,-539.24,-552.04,-427.79,130.17
53,-585.54,-575.19,-484.35,-548.83,-531.35,-491.19,-521.39,-552.06,-588.81,-534.63,-554.9,-557.71,-576.73,-503.45,-524.59,-622.74,-544.78,-570.62,-439.26,143.73
54,-573.25,-564.45,-475.94,-540.17,-522.59,-485.53,-515.02,-545.8,-579.05,-525.6,-546.84,-538.02,-565.29,-494.05,-515.04,-613.81,-540.82,-563.12,-432.82,43.96
55,-553.17,-547.61,-460.98,-525.55,-505.68,-468.97,-499.27,-531.05,-563.19,-511.65,-532.57,-508.47,-548.26,-481.42,-501.11,-597.48,-530.9,-546.65,-420.25,-4.21
56,-555.81,-546.21,-458.65,-522.6,-504.91,-467.3,-496.55,-529.78,-561.78,-507.38,-529.36,-520.3,-550.74,-477.54,-494.13,-590.54,-511.74,-539.11,-414.87,130.9
57,-550.38,-544.29,-456.99,-519.6,-502.33,-462.55,-495.88,-527.95,-559.52,-501.8,-525.97,-514.25,-546.03,-473.32,-490.63,-587.34,-524.68,-539.26,-411.93,260.87
